Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
United States;GDP Constant Prices;1950-03-31T00:00:00;2186.365;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1950-06-30T00:00:00;2253.045;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1950-09-30T00:00:00;2340.112;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1950-12-31T00:00:00;2384.92;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1951-03-31T00:00:00;2417.311;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1951-06-30T00:00:00;2459.196;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1951-09-30T00:00:00;2509.88;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1951-12-31T00:00:00;2515.408;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1952-03-31T00:00:00;2542.286;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1952-06-30T00:00:00;2547.762;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1952-09-30T00:00:00;2566.153;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1952-12-31T00:00:00;2650.431;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1953-03-31T00:00:00;2699.699;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1953-06-30T00:00:00;2720.566;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1953-09-30T00:00:00;2705.258;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1953-12-31T00:00:00;2664.302;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1954-03-31T00:00:00;2651.566;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1954-06-30T00:00:00;2654.456;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1954-09-30T00:00:00;2684.434;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1954-12-31T00:00:00;2736.96;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1955-03-31T00:00:00;2815.134;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1955-06-30T00:00:00;2860.942;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1955-09-30T00:00:00;2899.578;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1955-12-31T00:00:00;2916.985;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1956-03-31T00:00:00;2905.656;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1956-06-30T00:00:00;2929.666;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1956-09-30T00:00:00;2927.034;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1956-12-31T00:00:00;2975.209;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1957-03-31T00:00:00;2994.259;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1957-06-30T00:00:00;2987.699;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1957-09-30T00:00:00;3016.979;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1957-12-31T00:00:00;2985.775;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1958-03-31T00:00:00;2908.281;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1958-06-30T00:00:00;2927.395;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1958-09-30T00:00:00;2995.112;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1958-12-31T00:00:00;3065.141;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1959-03-31T00:00:00;3123.978;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1959-06-30T00:00:00;3194.429;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1959-09-30T00:00:00;3196.683;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1959-12-31T00:00:00;3205.79;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1960-03-31T00:00:00;3277.847;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1960-06-30T00:00:00;3260.177;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1960-09-30T00:00:00;3276.133;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1960-12-31T00:00:00;3234.087;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1961-03-31T00:00:00;3255.914;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1961-06-30T00:00:00;3311.181;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1961-09-30T00:00:00;3374.742;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1961-12-31T00:00:00;3440.924;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1962-03-31T00:00:00;3502.298;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1962-06-30T00:00:00;3533.947;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1962-09-30T00:00:00;3577.362;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1962-12-31T00:00:00;3589.128;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1963-03-31T00:00:00;3628.306;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1963-06-30T00:00:00;3669.02;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1963-09-30T00:00:00;3749.681;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1963-12-31T00:00:00;3774.264;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1964-03-31T00:00:00;3853.835;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1964-06-30T00:00:00;3895.793;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1964-09-30T00:00:00;3956.657;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1964-12-31T00:00:00;3968.878;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1965-03-31T00:00:00;4064.915;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1965-06-30T00:00:00;4116.267;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1965-09-30T00:00:00;4207.782;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1965-12-31T00:00:00;4304.731;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1966-03-31T00:00:00;4409.518;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1966-06-30T00:00:00;4424.581;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1966-09-30T00:00:00;4462.053;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1966-12-31T00:00:00;4498.66;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1967-03-31T00:00:00;4538.498;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1967-06-30T00:00:00;4541.28;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1967-09-30T00:00:00;4584.246;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1967-12-31T00:00:00;4618.812;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1968-03-31T00:00:00;4713.013;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1968-06-30T00:00:00;4791.758;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1968-09-30T00:00:00;4828.892;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1968-12-31T00:00:00;4847.885;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1969-03-31T00:00:00;4923.76;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1969-06-30T00:00:00;4938.728;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1969-09-30T00:00:00;4971.349;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1969-12-31T00:00:00;4947.104;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1970-03-31T00:00:00;4939.759;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1970-06-30T00:00:00;4946.77;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1970-09-30T00:00:00;4992.357;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1970-12-31T00:00:00;4938.857;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1971-03-31T00:00:00;5072.996;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1971-06-30T00:00:00;5100.447;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1971-09-30T00:00:00;5142.422;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1971-12-31T00:00:00;5154.547;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1972-03-31T00:00:00;5249.337;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1972-06-30T00:00:00;5368.485;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1972-09-30T00:00:00;5419.184;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1972-12-31T00:00:00;5509.926;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1973-03-31T00:00:00;5646.286;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1973-06-30T00:00:00;5707.755;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1973-09-30T00:00:00;5677.738;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1973-12-31T00:00:00;5731.632;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1974-03-31T00:00:00;5682.353;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1974-06-30T00:00:00;5695.859;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1974-09-30T00:00:00;5642.025;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1974-12-31T00:00:00;5620.126;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1975-03-31T00:00:00;5551.713;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1975-06-30T00:00:00;5591.382;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1975-09-30T00:00:00;5687.087;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1975-12-31T00:00:00;5763.665;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1976-03-31T00:00:00;5893.276;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1976-06-30T00:00:00;5936.515;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1976-09-30T00:00:00;5969.089;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1976-12-31T00:00:00;6012.356;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1977-03-31T00:00:00;6083.391;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1977-06-30T00:00:00;6201.659;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1977-09-30T00:00:00;6313.559;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1977-12-31T00:00:00;6313.697;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1978-03-31T00:00:00;6333.848;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1978-06-30T00:00:00;6578.605;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1978-09-30T00:00:00;6644.754;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1978-12-31T00:00:00;6734.069;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1979-03-31T00:00:00;6746.176;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1979-06-30T00:00:00;6753.389;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1979-09-30T00:00:00;6803.558;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1979-12-31T00:00:00;6820.572;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1980-03-31T00:00:00;6842.024;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1980-06-30T00:00:00;6701.046;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1980-09-30T00:00:00;6693.082;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1980-12-31T00:00:00;6817.903;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1981-03-31T00:00:00;6951.495;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1981-06-30T00:00:00;6899.98;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1981-09-30T00:00:00;6982.609;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1981-12-31T00:00:00;6906.529;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1982-03-31T00:00:00;6799.233;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1982-06-30T00:00:00;6830.251;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1982-09-30T00:00:00;6804.139;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1982-12-31T00:00:00;6806.857;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1983-03-31T00:00:00;6896.561;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1983-06-30T00:00:00;7053.5;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1983-09-30T00:00:00;7194.504;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1983-12-31T00:00:00;7344.597;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1984-03-31T00:00:00;7488.167;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1984-06-30T00:00:00;7617.547;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1984-09-30T00:00:00;7690.985;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
