Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
United States;Government Debt to GDP;1940-12-31T00:00:00;51.6;Yearly;USADebt2GDP;2017-06-19T13:08:00
United States;Government Debt to GDP;1941-12-31T00:00:00;49.5;Yearly;USADebt2GDP;2017-06-19T13:08:00
United States;Government Debt to GDP;1942-12-31T00:00:00;53.6;Yearly;USADebt2GDP;2017-06-19T13:08:00
United States;Government Debt to GDP;1943-12-31T00:00:00;77.3;Yearly;USADebt2GDP;2017-06-19T13:08:00
United States;Government Debt to GDP;1944-12-31T00:00:00;95.5;Yearly;USADebt2GDP;2017-06-19T13:08:00
United States;Government Debt to GDP;1945-12-31T00:00:00;114.9;Yearly;USADebt2GDP;2017-06-19T13:08:00
United States;Government Debt to GDP;1946-12-31T00:00:00;118.9;Yearly;USADebt2GDP;2017-06-19T13:08:00
United States;Government Debt to GDP;1947-12-31T00:00:00;107.6;Yearly;USADebt2GDP;2017-06-19T13:08:00
United States;Government Debt to GDP;1948-12-31T00:00:00;96.2;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1949-12-31T00:00:00;91.4;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1950-12-31T00:00:00;92.2;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1951-12-31T00:00:00;78.1;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1952-12-31T00:00:00;72.6;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1953-12-31T00:00:00;69.6;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1954-12-31T00:00:00;70;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1955-12-31T00:00:00;67.5;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1956-12-31T00:00:00;62.2;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1957-12-31T00:00:00;58.8;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1958-12-31T00:00:00;59.1;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1959-12-31T00:00:00;57;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1960-12-31T00:00:00;54.4;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1961-12-31T00:00:00;53.5;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1962-12-31T00:00:00;51.7;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1963-12-31T00:00:00;50.2;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1964-12-31T00:00:00;47.8;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1965-12-31T00:00:00;45.4;Yearly;USADebt2GDP;2017-06-19T13:08:00
United States;Government Debt to GDP;1966-12-31T00:00:00;42.1;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1967-12-31T00:00:00;40.7;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1968-12-31T00:00:00;41.1;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1969-12-31T00:00:00;37.3;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1970-12-31T00:00:00;36.4;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1971-12-31T00:00:00;36.6;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1972-12-31T00:00:00;35.8;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1973-12-31T00:00:00;34.5;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1974-12-31T00:00:00;32.6;Yearly;USADebt2GDP;2017-06-19T13:08:00
United States;Government Debt to GDP;1975-12-31T00:00:00;33.7;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1976-12-31T00:00:00;34.1;Yearly;USADebt2GDP;2021-10-26T11:09:00
United States;Government Debt to GDP;1977-12-31T00:00:00;34.9;Yearly;USADebt2GDP;2019-07-15T16:17:00
United States;Government Debt to GDP;1978-12-31T00:00:00;34.2;Yearly;USADebt2GDP;2019-07-15T16:17:00
