Symbol;Date;Open;High;Low;Close
BDIY:IND;22/07/2022;2146;2146;2146;2146
BDIY:IND;21/07/2022;2118;2118;2118;2118
BDIY:IND;20/07/2022;2113;2113;2113;2113
BDIY:IND;19/07/2022;2145;2145;2145;2145
BDIY:IND;18/07/2022;2162;2162;2162;2162
BDIY:IND;15/07/2022;2150;2150;2150;2150
BDIY:IND;14/07/2022;2010;2010;2010;2010
BDIY:IND;13/07/2022;2002;2002;2002;2002
BDIY:IND;12/07/2022;2013;2013;2013;2013
BDIY:IND;11/07/2022;2081;2081;2081;2081
BDIY:IND;08/07/2022;2067;2067;2067;2067
BDIY:IND;07/07/2022;2073;2073;2073;2073
BDIY:IND;06/07/2022;2043;2043;2043;2043
BDIY:IND;05/07/2022;2098;2098;2098;2098
BDIY:IND;04/07/2022;2159;2159;2159;2159
BDIY:IND;01/07/2022;2214;2214;2214;2214
BDIY:IND;30/06/2022;2240;2240;2240;2240
BDIY:IND;29/06/2022;2186;2186;2186;2186
BDIY:IND;28/06/2022;2204;2204;2204;2204
BDIY:IND;27/06/2022;2295;2295;2295;2295
BDIY:IND;24/06/2022;2331;2331;2331;2331
BDIY:IND;23/06/2022;2354;2354;2354;2354
BDIY:IND;22/06/2022;2349;2349;2349;2349
BDIY:IND;21/06/2022;2484;2484;2484;2484
BDIY:IND;20/06/2022;2596;2596;2596;2596
BDIY:IND;17/06/2022;2578;2578;2578;2578
BDIY:IND;16/06/2022;2462;2462;2462;2462
BDIY:IND;15/06/2022;2387;2387;2387;2387
BDIY:IND;14/06/2022;2284;2284;2284;2284
BDIY:IND;13/06/2022;2260;2260;2260;2260
BDIY:IND;10/06/2022;2320;2320;2320;2320
BDIY:IND;09/06/2022;2342;2342;2342;2342
BDIY:IND;08/06/2022;2410;2410;2410;2410
BDIY:IND;07/06/2022;2514;2514;2514;2514
BDIY:IND;06/06/2022;2560;2560;2560;2560
BDIY:IND;01/06/2022;2633;2633;2633;2633
BDIY:IND;31/05/2022;2566;2566;2566;2566
BDIY:IND;30/05/2022;2571;2571;2571;2571
BDIY:IND;27/05/2022;2681;2681;2681;2681
BDIY:IND;26/05/2022;2933;2933;2933;2933
BDIY:IND;25/05/2022;3127;3127;3127;3127
BDIY:IND;24/05/2022;3253;3253;3253;3253
BDIY:IND;23/05/2022;3369;3369;3369;3369
BDIY:IND;20/05/2022;3344;3344;3344;3344
BDIY:IND;19/05/2022;3289;3289;3289;3289
BDIY:IND;18/05/2022;3189;3189;3189;3189
BDIY:IND;17/05/2022;3095;3095;3095;3095
BDIY:IND;16/05/2022;3085;3085;3085;3085
BDIY:IND;13/05/2022;3104;3104;3104;3104
BDIY:IND;12/05/2022;3117;3117;3117;3117
BDIY:IND;11/05/2022;3052;3052;3052;3052
BDIY:IND;10/05/2022;2939;2939;2939;2939
BDIY:IND;09/05/2022;2831;2831;2831;2831
BDIY:IND;06/05/2022;2718;2718;2718;2718
BDIY:IND;05/05/2022;2644;2644;2644;2644
BDIY:IND;04/05/2022;2485;2485;2485;2485
BDIY:IND;03/05/2022;2412;2412;2412;2412
BDIY:IND;29/04/2022;2404;2404;2404;2404
BDIY:IND;28/04/2022;2403;2403;2403;2403
BDIY:IND;27/04/2022;2425;2425;2425;2425
BDIY:IND;26/04/2022;2404;2404;2404;2404
BDIY:IND;25/04/2022;2356;2356;2356;2356
BDIY:IND;22/04/2022;2307;2307;2307;2307
BDIY:IND;21/04/2022;2239;2239;2239;2239
BDIY:IND;20/04/2022;2142;2142;2142;2142
BDIY:IND;19/04/2022;2115;2115;2115;2115
BDIY:IND;14/04/2022;2137;2137;2137;2137
BDIY:IND;13/04/2022;2068;2068;2068;2068
BDIY:IND;12/04/2022;2035;2035;2035;2035
BDIY:IND;11/04/2022;2031;2031;2031;2031
BDIY:IND;08/04/2022;2055;2055;2055;2055
BDIY:IND;07/04/2022;2061;2061;2061;2061
BDIY:IND;06/04/2022;2128;2128;2128;2128
BDIY:IND;05/04/2022;2213;2213;2213;2213
BDIY:IND;04/04/2022;2307;2307;2307;2307
BDIY:IND;01/04/2022;2357;2357;2357;2357
BDIY:IND;31/03/2022;2358;2358;2358;2358
BDIY:IND;30/03/2022;2369;2369;2369;2369
BDIY:IND;29/03/2022;2417;2417;2417;2417
BDIY:IND;28/03/2022;2484;2484;2484;2484
BDIY:IND;25/03/2022;2544;2544;2544;2544
BDIY:IND;24/03/2022;2567;2567;2567;2567
BDIY:IND;23/03/2022;2575;2575;2575;2575
BDIY:IND;22/03/2022;2546;2545;2546;2546
BDIY:IND;21/03/2022;2589;2589;2589;2589
BDIY:IND;18/03/2022;2605;2605;2605;2605
BDIY:IND;17/03/2022;2588;2588;2588;2588
BDIY:IND;16/03/2022;2591;2591;2591;2591
BDIY:IND;15/03/2022;2689;2689;2689;2689
BDIY:IND;14/03/2022;2727;2727;2727;2727
BDIY:IND;11/03/2022;2718;2718;2718;2718
