Symbol;Date;Open;High;Low;Close
CL1:COM;21/07/2022;99.91;99.99;96.69;96.69
CL1:COM;20/07/2022;100.34;100.72;98.16;99.88
CL1:COM;19/07/2022;98.86;100.99;96.52;100.74
CL1:COM;18/07/2022;94.34;99.62;92.88;99.42
CL1:COM;15/07/2022;93.51;96.05;91.64;94.57
CL1:COM;14/07/2022;94.14;94.49;88.23;92.83
CL1:COM;13/07/2022;93.3;95.34;91.14;93.83
CL1:COM;12/07/2022;100.57;100.57;92.83;93.31
CL1:COM;11/07/2022;101.33;102;97.94;101.21
CL1:COM;08/07/2022;98.92;101.97;98.4;101.53
CL1:COM;07/07/2022;94.62;100.78;93;99.25
CL1:COM;06/07/2022;97.44;99.11;92.18;94.98
CL1:COM;05/07/2022;105.6;108.28;94.62;96.52
CL1:COM;01/07/2022;103.33;106.26;101.94;105.39
CL1:COM;30/06/2022;106.67;107.76;102.68;103.1
CL1:COM;29/06/2022;109;111.14;106.45;107.01
CL1:COM;28/06/2022;107;109.31;106.59;108.89
CL1:COM;27/06/2022;104.37;107.28;102.48;106.38
CL1:COM;24/06/2022;101.31;105.44;100.84;104.45
CL1:COM;23/06/2022;102.53;104.62;100.24;101.58
CL1:COM;22/06/2022;107.33;107.56;99.66;103.99
CL1:COM;21/06/2022;106.65;108.9;104.69;107.34
CL1:COM;20/06/2022;110.39;110.54;108.12;110.18
CL1:COM;17/06/2022;112.09;113.87;104.28;105.78
CL1:COM;16/06/2022;111.25;113.14;108.3;112.7
CL1:COM;15/06/2022;113.61;114.16;110.05;110.75
CL1:COM;14/06/2022;115.53;117.78;111.66;113.48
CL1:COM;13/06/2022;114.7;116.64;112.12;115.31
CL1:COM;10/06/2022;116.48;117.37;113.17;115.34
CL1:COM;09/06/2022;117.41;117.81;115.97;116.49
CL1:COM;08/06/2022;114.98;118.08;114.47;117.15
CL1:COM;07/06/2022;114.18;115.38;112.74;114.54
CL1:COM;06/06/2022;118.17;118.28;115.15;116.06
CL1:COM;03/06/2022;114.9;117.77;112.73;116.23
CL1:COM;02/06/2022;112.27;115.1;108.94;114.3
CL1:COM;01/06/2022;112.74;115;111.86;112.72
CL1:COM;31/05/2022;112.1;117.07;111.5;111.91
CL1:COM;30/05/2022;115.48;117.27;115.41;117.24
CL1:COM;27/05/2022;111.25;112.42;110.06;112.23
CL1:COM;26/05/2022;108.05;111.88;107.6;111.25
CL1:COM;25/05/2022;107.68;108.97;106.71;107.75
CL1:COM;24/05/2022;107.68;108.76;105.94;107.2
CL1:COM;23/05/2022;107.34;108.76;106.32;107.54
CL1:COM;20/05/2022;106.12;107.84;105.15;107.17
CL1:COM;19/05/2022;103.91;107.03;100.66;106.82
CL1:COM;18/05/2022;107.65;109.18;103.18;104.07
CL1:COM;17/05/2022;108.68;110.15;106.06;106.76
CL1:COM;16/05/2022;106.63;109.53;103.98;108.91
CL1:COM;13/05/2022;102.9;106.39;102.66;106.27
CL1:COM;12/05/2022;102.4;103.48;99.36;102.42
CL1:COM;11/05/2022;96.25;102.81;95.47;102.2
CL1:COM;10/05/2022;99.85;101.01;96.15;96.87
CL1:COM;09/05/2022;107.07;107.13;99.16;100.1
CL1:COM;06/05/2022;107.07;109.53;105.72;108.33
CL1:COM;05/05/2022;106.07;109.77;104.95;106.74
CL1:COM;04/05/2022;101.99;107;101.41;106.22
CL1:COM;03/05/2022;103.19;104.06;100.58;100.9
CL1:COM;02/05/2022;102.15;104.19;98.87;103.42
CL1:COM;29/04/2022;103.12;105.99;102.14;102.94
CL1:COM;28/04/2022;100.59;103.77;98.75;103.47
CL1:COM;27/04/2022;100.76;101.68;98.65;100.68
CL1:COM;26/04/2022;97.77;101.5;96.37;100.41
CL1:COM;25/04/2022;100.38;100.48;94.47;97.67
CL1:COM;22/04/2022;102.01;103.34;100.08;101.05
CL1:COM;21/04/2022;101.66;104.47;101.25;102.96
CL1:COM;20/04/2022;101.54;103.1;99.2;101.36
CL1:COM;19/04/2022;105.79;107.09;100.58;101.16
CL1:COM;18/04/2022;105.48;107.97;104.52;106.41
CL1:COM;14/04/2022;102.9;106.01;100.86;105.44
CL1:COM;13/04/2022;99.71;103.05;98.78;102.89
CL1:COM;12/04/2022;94.46;100.03;94.06;99.4
CL1:COM;11/04/2022;97.22;97.23;92.15;93.46
CL1:COM;08/04/2022;95.43;97.36;93.98;97.01
CL1:COM;07/04/2022;96.29;97.95;93.21;95.51
CL1:COM;06/04/2022;99.95;102.63;94.93;95.41
CL1:COM;05/04/2022;102.16;104.07;98.63;100.68
CL1:COM;04/04/2022;97.68;102.44;96.83;101.84
CL1:COM;01/04/2022;99.77;100;96.22;97.9
CL1:COM;31/03/2022;105.3;105.64;97.88;98.52
CL1:COM;30/03/2022;103.04;106.44;102.41;105.68
CL1:COM;29/03/2022;101.29;105.45;96.52;102.05
